Date,GHI,PR
14-07-2020,6.802625,83.21232225
15-07-2020,6.373325,82.87603269
16-07-2020,3.385833333,84.72339623
17-07-2020,4.903241667,70.1763765
18-07-2020,3.602683333,63.41637107
19-07-2020,5.185658333,74.51663485
20-07-2020,4.802258333,61.60675397
21-07-2020,3.878741667,74.38164019
22-07-2020,5.033941667,68.78996992
23-07-2020,5.238233333,80.34768649
24-07-2020,4.326291667,83.21377527
25-07-2020,5.342891667,63.95863352
26-07-2020,4.191575,74.81788739
27-07-2020,6.463783333,78.84769573
28-07-2020,4.672008333,73.53916359
29-07-2020,5.826408333,84.27499891
30-07-2020,5.928366667,76.33637825
31-07-2020,2.833108333,81.89387409
01-08-2020,4.023816667,60.48325108
02-08-2020,3.128775,75.23499646
03-08-2020,3.270375,68.36815611
04-08-2020,3.911008333,66.82187004
05-08-2020,4.348208333,78.12217834
06-08-2020,4.216683333,83.73038692
07-08-2020,4.42375,83.80450831
08-08-2020,4.228008333,67.59783611
09-08-2020,3.826891667,66.90940439
10-08-2020,4.77865,70.68643663
11-08-2020,5.032291667,80.91626741
12-08-2020,2.374025,63.18027054
13-08-2020,3.296125,70.54251848
14-08-2020,5.338333333,62.43740341
15-08-2020,6.542925,68.05950151
16-08-2020,6.588108333,64.51231562
17-08-2020,5.805491667,83.38144698
18-08-2020,4.6093,83.27885928
19-08-2020,4.504258333,70.80370196
20-08-2020,4.920458333,72.01206975
21-08-2020,5.852966667,60.02388617
22-08-2020,5.7299,65.39352233
23-08-2020,5.770433333,81.24745954
24-08-2020,6.372925,82.81310078
25-08-2020,6.375016667,67.76977824
26-08-2020,5.904958333,63.01606436
27-08-2020,6.356391667,73.65052644
28-08-2020,6.098608333,81.09543452
29-08-2020,6.4524,64.68213301
30-08-2020,4.734875,76.03943489
31-08-2020,6.173716667,82.64278301
01-09-2020,3.607716667,77.2688698
02-09-2020,5.848,80.25530527
03-09-2020,5.022025,79.11494783
04-09-2020,6.7933,64.27829856
05-09-2020,5.315975,79.50033226
06-09-2020,5.303933333,75.98413614
07-09-2020,6.947316667,65.23346652
08-09-2020,5.245983333,83.00012978
09-09-2020,3.982816667,70.81294717
10-09-2020,4.208775,65.33308202
11-09-2020,6.204075,74.15784385
12-09-2020,4.825333333,63.67723912
13-09-2020,3.430558333,77.09746893
14-09-2020,3.86695,66.50726911
15-09-2020,5.83625,62.09406595
16-09-2020,5.193391667,66.69350044
17-09-2020,4.751516667,65.98626146
18-09-2020,3.082125,65.81474179
19-09-2020,1.961641667,71.86334764
20-09-2020,5.438716667,76.09235854
21-09-2020,5.726066667,70.73095945
22-09-2020,5.455016667,72.61577295
23-09-2020,5.434108333,77.03613837
24-09-2020,6.261908333,80.76889776
25-09-2020,3.901775,80.78640954
26-09-2020,3.824825,71.77520677
27-09-2020,3.45985,70.39030075
28-09-2020,3.970241667,60.58774693
29-09-2020,4.564616667,62.84506203
30-09-2020,5.392108333,83.18899003
01-10-2020,4.0125,62.73674669
02-10-2020,2.411141667,73.71892061
03-10-2020,5.345891667,72.4401401
04-10-2020,4.904075,76.93894479
05-10-2020,3.05,60.24167536
06-10-2020,3.399941667,80.87436482
07-10-2020,1.767241667,84.47100223
08-10-2020,4.223466667,84.98011969
09-10-2020,1.825283333,63.67023399
10-10-2020,2.645533333,80.63019308
11-10-2020,2.573858333,75.48120255
12-10-2020,4.169058333,74.21314908
13-10-2020,4.326308333,84.9617997
14-10-2020,2.54325,67.80043625
15-10-2020,2.999,69.25622925
16-10-2020,2.124833333,70.50378529
17-10-2020,2.839691667,69.40774697
18-10-2020,2.898758333,74.01298316
19-10-2020,4.856016667,70.06526772
20-10-2020,4.438566667,63.29134117
21-10-2020,3.001575,83.25306691
22-10-2020,5.948458333,82.907448
23-10-2020,5.029258333,60.71307876
24-10-2020,5.099741667,62.309339
25-10-2020,2.715316667,77.38291574
26-10-2020,5.14175,78.27408102
27-10-2020,3.935491667,69.67418695
28-10-2020,2.206325,80.49438618
29-10-2020,3.794083333,84.92437313
30-10-2020,4.33635,81.17184293
31-10-2020,3.985316667,77.81053225
01-11-2020,4.631875,66.21683521
02-11-2020,3.199641667,82.55276598
03-11-2020,5.397516667,84.68920224
04-11-2020,3.881266667,75.06431608
05-11-2020,5.158883333,74.90404968
06-11-2020,2.401275,62.56887417
07-11-2020,4.188108333,70.66678186
08-11-2020,4.948775,62.12552221
09-11-2020,3.40385,75.87799173
10-11-2020,3.473483333,70.46339039
11-11-2020,3.210316667,81.40364062
12-11-2020,4.436241667,60.88355471
13-11-2020,4.856416667,69.39930931
14-11-2020,5.4906,73.55679318
15-11-2020,4.450458333,84.10658453
16-11-2020,4.598091667,74.71188286
17-11-2020,5.437575,64.97284081
18-11-2020,3.887516667,69.81664739
19-11-2020,3.99265,62.28045255
20-11-2020,4.206191667,79.63375104
21-11-2020,3.515766667,64.55297305
22-11-2020,4.502883333,61.82516432
23-11-2020,3.430041667,62.58018588
24-11-2020,4.42425,61.50498092
25-11-2020,4.824158333,80.42356437
26-11-2020,4.384575,62.05539273
27-11-2020,4.1413,80.88446781
28-11-2020,4.05465,75.32861428
29-11-2020,2.462508333,63.04094468
30-11-2020,3.986191667,62.19627712
01-12-2020,3.422875,68.55667082
02-12-2020,4.100191667,66.13656954
03-12-2020,5.60325,76.05161584
04-12-2020,5.626008333,72.24697723
05-12-2020,5.074833333,77.03525004
06-12-2020,5.420141667,70.84967242
07-12-2020,3.066733333,82.58404325
08-12-2020,4.480466667,79.51818541
09-12-2020,3.3859,74.40351479
10-12-2020,3.428716667,81.67746184
11-12-2020,2.8102,75.57106335
12-12-2020,3.284166667,82.09009491
13-12-2020,2.810166667,75.25616007
14-12-2020,4.296166667,71.20318243
15-12-2020,4.15135,67.29291394
16-12-2020,4.663783333,79.91800065
17-12-2020,4.445075,80.04062009
18-12-2020,3.599541667,76.00328045
19-12-2020,3.687291667,78.98540616
20-12-2020,3.353266667,77.73573139
21-12-2020,4.921075,72.06306798
22-12-2020,2.876825,64.03572444
23-12-2020,3.4587,82.28081061
24-12-2020,4.203441667,83.62682548
25-12-2020,4.012741667,62.18401975
26-12-2020,4.949166667,80.77043024
27-12-2020,4.482958333,66.81759374
28-12-2020,4.528641667,60.11023343
29-12-2020,4.800583333,64.9488999
30-12-2020,2.427341667,77.60357917
31-12-2020,3.629525,63.36967939
01-01-2021,2.786683333,83.66641687
02-01-2021,3.874108333,61.51536333
03-01-2021,4.827366667,84.49778453
04-01-2021,4.065383333,78.41415728
05-01-2021,4.0429,80.18236383
06-01-2021,3.949783333,84.90721676
07-01-2021,4.947341667,75.79212097
08-01-2021,5.051108333,64.43049471
09-01-2021,5.2389,61.68552125
10-01-2021,4.8213,64.24337066
11-01-2021,4.975141667,73.86084303
12-01-2021,4.866616667,60.14697289
13-01-2021,5.033091667,82.0148182
14-01-2021,4.440375,82.79713506
15-01-2021,4.514583333,72.91756073
16-01-2021,4.349475,69.19325224
17-01-2021,4.833258333,81.63869705
18-01-2021,5.544341667,65.7849578
19-01-2021,3.88405,64.93065695
20-01-2021,3.496041667,61.89388664
21-01-2021,3.969733333,63.66000166
22-01-2021,3.324808333,60.2873887
23-01-2021,3.377008333,75.26188888
24-01-2021,3.681925,66.90631035
25-01-2021,4.29905,64.09811909
26-01-2021,4.239008333,66.81909322
27-01-2021,4.010408333,63.86066734
28-01-2021,4.213233333,69.44407808
29-01-2021,5.424616667,72.42513773
30-01-2021,4.741075,75.61305069
31-01-2021,4.604041667,66.36006131
01-02-2021,4.621641667,66.92499948
02-02-2021,5.495841667,78.79142175
03-02-2021,5.2928,72.96728368
04-02-2021,4.473416667,63.08690837
05-02-2021,4.504841667,80.02004886
06-02-2021,4.159225,62.85821532
07-02-2021,3.478141667,77.56261296
08-02-2021,3.205775,77.06022752
09-02-2021,5.045083333,68.22388346
10-02-2021,4.277683333,64.14147918
11-02-2021,2.390758333,63.86806783
12-02-2021,4.068308333,70.57074642
13-02-2021,5.202675,78.76293497
14-02-2021,4.364241667,72.81963177
15-02-2021,4.697391667,61.69717364
16-02-2021,5.241525,74.94631074
17-02-2021,5.940891667,75.83144148
18-02-2021,5.53465,65.74010327
19-02-2021,5.472708333,84.33412207
20-02-2021,6.008566667,76.00995922
21-02-2021,5.999541667,77.80130415
22-02-2021,5.196675,76.21568108
23-02-2021,5.446766667,81.55455971
24-02-2021,4.6578,66.57206215
25-02-2021,5.31395,79.1301965
26-02-2021,4.556158333,62.73319882
27-02-2021,3.493283333,71.44104176
28-02-2021,4.582141667,67.50866074
01-03-2021,5.4687,61.55919588
02-03-2021,4.935983333,65.85289818
03-03-2021,4.19625,82.27337522
04-03-2021,5.165466667,84.91011271
05-03-2021,6.486008333,64.10777168
06-03-2021,5.915858333,64.88061055
07-03-2021,5.639083333,75.19907414
08-03-2021,5.1473,69.31458217
09-03-2021,4.57085,72.33920476
10-03-2021,4.772283333,64.00159103
11-03-2021,5.075016667,76.61826401
12-03-2021,5.343283333,83.63222408
13-03-2021,5.711466667,80.61762338
14-03-2021,6.122858333,75.94527618
15-03-2021,5.025025,76.2216018
16-03-2021,4.547383333,70.78168553
17-03-2021,5.219116667,75.73683378
18-03-2021,4.648075,73.75455072
19-03-2021,4.957,73.13327469
20-03-2021,3.220425,73.46585282
21-03-2021,4.30625,61.18568999
22-03-2021,6.015591667,67.66042667
23-03-2021,6.209658333,80.58251206
24-03-2021,5.930958333,81.65893517
25-03-2021,5.744208333,77.53325058
26-03-2021,6.382258333,82.3602677
27-03-2021,5.880091667,69.51553523
28-03-2021,6.058016667,79.12584119
29-03-2021,5.221883333,62.95521726
30-03-2021,4.50345,62.09502838
31-03-2021,5.7723,76.89889967
01-04-2021,5.695466667,69.42506407
02-04-2021,5.393075,64.49132957
03-04-2021,5.281491667,79.09037784
04-04-2021,4.4688,62.37501073
05-04-2021,5.544483333,66.53188436
20-04-2021,5.541141667,81.18385924
21-04-2021,3.62395,69.39032767
22-04-2021,3.492116667,83.12971089
23-04-2021,2.394136241,63.64662328
24-04-2021,3.798924019,80.40084625
25-04-2021,2.735408262,71.29094721
26-04-2021,3.089371597,74.64967213
27-04-2021,3.055165786,80.88077081
28-04-2021,3.627878567,78.81450146
29-04-2021,4.539083967,62.46706892
30-04-2021,2.591562824,62.42248752
01-05-2021,5.292419368,68.60522351
02-05-2021,4.431024888,80.86788128
03-05-2021,5.883403687,74.74476697
04-05-2021,4.570410435,75.74457764
05-05-2021,2.253509217,65.81167319
06-05-2021,4.692892997,77.53399902
07-05-2021,3.644346039,67.72989881
08-05-2021,2.227714066,83.13317573
09-05-2021,5.552725485,83.52568208
10-05-2021,4.773650032,70.6215225
11-05-2021,4.13724155,63.54684753
12-05-2021,5.692629246,67.27020355
13-05-2021,4.949871427,72.62914563
14-05-2021,2.755736898,80.58428564
15-05-2021,4.155358975,82.62436035
16-05-2021,5.604047307,80.20258609
17-05-2021,5.142796085,81.14592307
18-05-2021,2.293150014,73.65865639
19-05-2021,3.053645955,63.21525782
20-05-2021,4.029908446,74.30238862
21-05-2021,3.486734001,61.43755755
22-05-2021,2.402452251,74.3970245
23-05-2021,5.544250301,61.58375728
24-05-2021,4.281675428,62.42075606
25-05-2021,3.316844593,78.89371378
26-05-2021,5.779133295,61.62369128
27-05-2021,2.546229425,72.88497858
28-05-2021,3.139226802,72.70578373
29-05-2021,3.038622696,74.99590519
30-05-2021,4.492467527,69.20369021
31-05-2021,5.732635684,78.50826384
01-06-2021,4.195066667,68.87633524
02-06-2021,4.877116667,62.88708413
05-06-2021,5.0684,79.08599954
06-06-2021,3.99225,72.1702366
07-06-2021,5.365591667,79.88007224
08-06-2021,2.611183333,77.29574387
09-06-2021,5.204808333,60.64390862
10-06-2021,3.592533333,66.23325834
11-06-2021,5.396108333,80.90123037
12-06-2021,4.161741667,60.59910905
13-06-2021,5.448483333,72.39693681
14-06-2021,5.926033333,78.76041599
15-06-2021,3.932033333,60.32529965
16-06-2021,4.729975,70.7694985
17-06-2021,6.520441667,66.66965168
18-06-2021,6.123708333,74.27436761
19-06-2021,5.056091667,81.68971449
20-06-2021,5.725175,80.63315423
21-06-2021,4.051708333,74.72682588
22-06-2021,4.164675,65.53509604
23-06-2021,4.859341667,70.72157983
24-06-2021,5.739525,64.21049448
25-06-2021,5.90975,68.06328707
26-06-2021,6.281358333,83.84207408
27-06-2021,5.852325,82.47158407
28-06-2021,5.981325,77.20580226
29-06-2021,5.256925,81.55935567
30-06-2021,3.089816667,77.20331671
01-07-2021,6.332116667,84.7699836
02-07-2021,6.18565,63.20853215
03-07-2021,5.4784,78.35262338
04-07-2021,3.296966667,84.09817081
05-07-2021,3.667841667,72.89388546
06-07-2021,2.852183333,76.38979995
07-07-2021,2.717125,81.77536229
08-07-2021,3.595508333,67.87960601
09-07-2021,4.808441667,64.09475269
10-07-2021,5.292016667,62.04101834
11-07-2021,5.98765,83.8501172
12-07-2021,4.842283333,66.35927925
13-07-2021,4.506258333,71.21065978
14-07-2021,3.985116667,72.01887248
15-07-2021,3.222533333,71.57437185
16-07-2021,5.855191667,83.44409415
17-07-2021,6.5543,66.02987703
18-07-2021,3.73,63.93345641
19-07-2021,4.535691667,67.30536284
20-07-2021,5.722691667,80.84051944
21-07-2021,3.865775,82.68233834
22-07-2021,4.174416667,79.77389156
23-07-2021,2.655541667,81.97642408
24-07-2021,5.254816667,73.75992663
25-07-2021,4.542575,75.3427307
26-07-2021,5.688958333,79.79306328
27-07-2021,5.361808333,77.20349712
28-07-2021,2.928783333,67.81317142
29-07-2021,4.2413,80.48844149
30-07-2021,5.188091667,70.92533959
31-07-2021,5.100383333,62.05911381
01-08-2021,5.665241667,79.36368827
